Code;datum;maand;mndnr
IN007640;05-02-2021;02-2021;02
IN007641;05-02-2021;02-2021;02
IN007642;05-02-2021;02-2021;02
IN007643;05-02-2021;02-2021;02
IN007644;05-02-2021;02-2021;02
IN007645;05-02-2021;02-2021;02
IN007646;05-02-2021;02-2021;02
IN007647;05-02-2021;02-2021;02
IN007648;05-02-2021;02-2021;02
IN007649;05-02-2021;02-2021;02
IN007650;05-02-2021;02-2021;02
IN007651;05-02-2021;02-2021;02
IN007652;05-02-2021;02-2021;02
IN007653;05-02-2021;02-2021;02
IN007654;05-02-2021;02-2021;02
IN007655;05-02-2021;02-2021;02
IN007656;05-02-2021;02-2021;02
IN007657;05-02-2021;02-2021;02
IN007658;05-02-2021;02-2021;02
IN007659;05-02-2021;02-2021;02
IN007660;05-02-2021;02-2021;02
IN007661;05-02-2021;02-2021;02
IN007662;05-02-2021;02-2021;02
IN007663;05-02-2021;02-2021;02
IN007664;05-02-2021;02-2021;02
IN007665;05-02-2021;02-2021;02
IN007666;05-02-2021;02-2021;02
IN007667;05-02-2021;02-2021;02
IN007668;05-02-2021;02-2021;02
IN007669;05-02-2021;02-2021;02
IN007670;05-02-2021;02-2021;02
IN007671;05-02-2021;02-2021;02
IN007672;05-02-2021;02-2021;02
IN007673;05-02-2021;02-2021;02
IN007674;05-02-2021;02-2021;02
IN007675;05-02-2021;02-2021;02
IN007676;05-02-2021;02-2021;02
IN007677;05-02-2021;02-2021;02
IN007678;05-02-2021;02-2021;02
IN007679;05-02-2021;02-2021;02
IN007680;05-02-2021;02-2021;02
IN007681;05-02-2021;02-2021;02
IN007682;05-02-2021;02-2021;02
IN007683;05-02-2021;02-2021;02
IN007684;05-02-2021;02-2021;02
IN007685;05-02-2021;02-2021;02
IN007686;05-02-2021;02-2021;02
IN007687;05-02-2021;02-2021;02
IN007688;05-02-2021;02-2021;02
IN007689;05-02-2021;02-2021;02
IN007690;05-02-2021;02-2021;02
IN007691;05-02-2021;02-2021;02
IN007692;05-02-2021;02-2021;02
IN007693;05-02-2021;02-2021;02
IN007694;05-02-2021;02-2021;02
IN007695;05-02-2021;02-2021;02
IN007696;05-02-2021;02-2021;02
IN007697;05-02-2021;02-2021;02
IN007698;05-02-2021;02-2021;02
IN007699;05-02-2021;02-2021;02
IN007700;05-02-2021;02-2021;02
IN007701;08-02-2021;02-2021;02
IN007702;08-02-2021;02-2021;02
IN007703;08-02-2021;02-2021;02
IN007704;08-02-2021;02-2021;02
IN007705;08-02-2021;02-2021;02
IN007706;08-02-2021;02-2021;02
IN007707;08-02-2021;02-2021;02
IN007708;08-02-2021;02-2021;02
IN007709;08-02-2021;02-2021;02
IN007710;08-02-2021;02-2021;02
IN007711;08-02-2021;02-2021;02
IN007712;08-02-2021;02-2021;02
IN007713;08-02-2021;02-2021;02
IN007714;08-02-2021;02-2021;02
IN007715;08-02-2021;02-2021;02
IN007716;08-02-2021;02-2021;02
IN007717;08-02-2021;02-2021;02
IN007718;08-02-2021;02-2021;02
IN007719;08-02-2021;02-2021;02
IN007720;08-02-2021;02-2021;02
IN007721;08-02-2021;02-2021;02
IN007722;08-02-2021;02-2021;02
IN007723;08-02-2021;02-2021;02
IN007724;08-02-2021;02-2021;02
IN007725;08-02-2021;02-2021;02
IN007726;08-02-2021;02-2021;02
IN007727;08-02-2021;02-2021;02
IN007728;08-02-2021;02-2021;02
IN007729;08-02-2021;02-2021;02
IN007730;08-02-2021;02-2021;02
IN007731;08-02-2021;02-2021;02
IN007732;08-02-2021;02-2021;02
IN007733;08-02-2021;02-2021;02
IN007734;08-02-2021;02-2021;02
IN007735;08-02-2021;02-2021;02
IN007736;08-02-2021;02-2021;02
IN007737;08-02-2021;02-2021;02
IN007738;08-02-2021;02-2021;02
IN007739;08-02-2021;02-2021;02
IN007740;08-02-2021;02-2021;02
IN007741;08-02-2021;02-2021;02
IN007742;08-02-2021;02-2021;02
IN007743;08-02-2021;02-2021;02
IN007744;08-02-2021;02-2021;02
IN007745;08-02-2021;02-2021;02
IN007746;08-02-2021;02-2021;02
IN007747;08-02-2021;02-2021;02
IN007748;08-02-2021;02-2021;02
IN007749;08-02-2021;02-2021;02
IN007750;08-02-2021;02-2021;02
IN007751;08-02-2021;02-2021;02
IN007752;08-02-2021;02-2021;02
IN007753;08-02-2021;02-2021;02
IN007754;08-02-2021;02-2021;02
IN007755;08-02-2021;02-2021;02
IN007756;08-02-2021;02-2021;02
IN007757;08-02-2021;02-2021;02
IN007758;08-02-2021;02-2021;02
IN007759;08-02-2021;02-2021;02
IN007760;08-02-2021;02-2021;02
IN007761;08-02-2021;02-2021;02
IN007762;08-02-2021;02-2021;02
IN007763;08-02-2021;02-2021;02
IN007764;08-02-2021;02-2021;02
IN007765;08-02-2021;02-2021;02
IN007766;08-02-2021;02-2021;02
IN007767;08-02-2021;02-2021;02
IN007768;08-02-2021;02-2021;02
IN007769;08-02-2021;02-2021;02
IN007770;08-02-2021;02-2021;02
IN007771;08-02-2021;02-2021;02
IN007772;08-02-2021;02-2021;02
IN007773;08-02-2021;02-2021;02
IN007774;08-02-2021;02-2021;02
IN007775;08-02-2021;02-2021;02
IN007776;08-02-2021;02-2021;02
IN007777;08-02-2021;02-2021;02
IN007778;08-02-2021;02-2021;02
IN007779;08-02-2021;02-2021;02
IN007780;08-02-2021;02-2021;02
IN007781;09-02-2021;02-2021;02
IN007782;09-02-2021;02-2021;02
IN007783;09-02-2021;02-2021;02
IN007784;09-02-2021;02-2021;02
IN007785;09-02-2021;02-2021;02
IN007786;09-02-2021;02-2021;02
IN007787;09-02-2021;02-2021;02
IN007788;09-02-2021;02-2021;02
IN007789;09-02-2021;02-2021;02
IN007790;09-02-2021;02-2021;02
IN007791;09-02-2021;02-2021;02
IN007792;09-02-2021;02-2021;02
IN007793;09-02-2021;02-2021;02
IN007794;09-02-2021;02-2021;02
IN007795;09-02-2021;02-2021;02
IN007796;09-02-2021;02-2021;02
IN007797;09-02-2021;02-2021;02
IN007798;09-02-2021;02-2021;02
IN007799;09-02-2021;02-2021;02
IN007800;09-02-2021;02-2021;02
IN007801;09-02-2021;02-2021;02
IN007802;09-02-2021;02-2021;02
IN007803;09-02-2021;02-2021;02
IN007804;09-02-2021;02-2021;02
IN007805;09-02-2021;02-2021;02
IN007806;09-02-2021;02-2021;02
IN007807;09-02-2021;02-2021;02
IN007808;09-02-2021;02-2021;02
IN007809;09-02-2021;02-2021;02
IN007810;09-02-2021;02-2021;02
IN007811;09-02-2021;02-2021;02
IN007812;09-02-2021;02-2021;02
IN007813;09-02-2021;02-2021;02
IN007814;09-02-2021;02-2021;02
IN007815;09-02-2021;02-2021;02
IN007816;09-02-2021;02-2021;02
IN007817;09-02-2021;02-2021;02
IN007818;09-02-2021;02-2021;02
IN007819;09-02-2021;02-2021;02
IN007820;09-02-2021;02-2021;02
IN007821;09-02-2021;02-2021;02
IN007822;09-02-2021;02-2021;02
IN007823;09-02-2021;02-2021;02
IN007824;09-02-2021;02-2021;02
IN007825;09-02-2021;02-2021;02
IN007826;09-02-2021;02-2021;02
IN007827;09-02-2021;02-2021;02
IN007828;09-02-2021;02-2021;02
IN007829;09-02-2021;02-2021;02
IN007830;09-02-2021;02-2021;02
IN007831;09-02-2021;02-2021;02
IN007832;09-02-2021;02-2021;02
IN007833;09-02-2021;02-2021;02
IN007834;09-02-2021;02-2021;02
IN007835;09-02-2021;02-2021;02
IN007836;09-02-2021;02-2021;02
IN007837;09-02-2021;02-2021;02
IN007838;09-02-2021;02-2021;02
IN007839;09-02-2021;02-2021;02
IN007840;09-02-2021;02-2021;02
IN007841;09-02-2021;02-2021;02
IN007842;09-02-2021;02-2021;02
IN007843;09-02-2021;02-2021;02
IN007844;09-02-2021;02-2021;02
IN007845;09-02-2021;02-2021;02
IN007846;09-02-2021;02-2021;02
IN007847;09-02-2021;02-2021;02
IN007848;09-02-2021;02-2021;02
IN007849;09-02-2021;02-2021;02
IN007850;09-02-2021;02-2021;02
IN007851;09-02-2021;02-2021;02
IN007852;09-02-2021;02-2021;02
IN007853;09-02-2021;02-2021;02
IN007854;09-02-2021;02-2021;02
IN007855;09-02-2021;02-2021;02
IN007856;09-02-2021;02-2021;02
IN007857;09-02-2021;02-2021;02
IN007858;09-02-2021;02-2021;02
IN007859;09-02-2021;02-2021;02
IN007860;09-02-2021;02-2021;02
IN007861;10-02-2021;02-2021;02
IN007862;10-02-2021;02-2021;02
IN007863;10-02-2021;02-2021;02
IN007864;10-02-2021;02-2021;02
IN007865;10-02-2021;02-2021;02
IN007866;10-02-2021;02-2021;02
IN007867;10-02-2021;02-2021;02
IN007868;10-02-2021;02-2021;02
IN007869;10-02-2021;02-2021;02
IN007870;10-02-2021;02-2021;02
IN007871;10-02-2021;02-2021;02
IN007872;10-02-2021;02-2021;02
IN007873;10-02-2021;02-2021;02
IN007874;10-02-2021;02-2021;02
IN007875;10-02-2021;02-2021;02
IN007876;10-02-2021;02-2021;02
IN007877;10-02-2021;02-2021;02
IN007878;10-02-2021;02-2021;02
IN007879;10-02-2021;02-2021;02
IN007880;10-02-2021;02-2021;02
IN007881;10-02-2021;02-2021;02
IN007882;10-02-2021;02-2021;02
IN007883;10-02-2021;02-2021;02
IN007884;10-02-2021;02-2021;02
IN007885;10-02-2021;02-2021;02
IN007886;10-02-2021;02-2021;02
IN007887;10-02-2021;02-2021;02
IN007888;10-02-2021;02-2021;02
IN007889;10-02-2021;02-2021;02
IN007890;10-02-2021;02-2021;02
IN007891;10-02-2021;02-2021;02
IN007892;10-02-2021;02-2021;02
IN007893;10-02-2021;02-2021;02
IN007894;10-02-2021;02-2021;02
IN007895;10-02-2021;02-2021;02
IN007896;10-02-2021;02-2021;02
IN007897;10-02-2021;02-2021;02
IN007898;10-02-2021;02-2021;02
IN007899;10-02-2021;02-2021;02
IN007900;10-02-2021;02-2021;02
IN007901;10-02-2021;02-2021;02
IN007902;10-02-2021;02-2021;02
IN007903;10-02-2021;02-2021;02
IN007904;10-02-2021;02-2021;02
IN007905;10-02-2021;02-2021;02
